file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1a9f324d,rahul-sg,2025-02-01,18:42:31,-08:00,2025-02-01T18:42:31-08:00,0,92
style.css,2,css,1a9f324d,rahul-sg,2025-02-01,18:42:31,-08:00,2025-02-01T18:42:31-08:00,0,0
style.css,3,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,6
style.css,4,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,34
style.css,5,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,38
style.css,6,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,40
style.css,7,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,24
style.css,8,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,9,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,10,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,21
style.css,11,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,19
style.css,12,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,34
style.css,13,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,38
style.css,14,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,39
style.css,15,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,16,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,17,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,20
style.css,18,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,18
style.css,19,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,34
style.css,20,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,38
style.css,21,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,40
style.css,22,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,23,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,24,css,9cc47358,rahul-sg,2025-01-08,15:56:29,-08:00,2025-01-08T15:56:29-08:00,0,5
style.css,25,css,2fc519a1,rahul-sg,2025-02-11,21:26:01,-08:00,2025-02-11T21:26:01-08:00,0,40
style.css,26,css,1a9f324d,rahul-sg,2025-02-01,18:42:31,-08:00,2025-02-01T18:42:31-08:00,0,15
style.css,27,css,1a9f324d,rahul-sg,2025-02-01,18:42:31,-08:00,2025-02-01T18:42:31-08:00,0,16
style.css,28,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,24
style.css,29,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,17
style.css,30,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,9
style.css,31,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,32,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,33,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,4
style.css,34,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,13
style.css,35,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,23
style.css,36,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,24
style.css,37,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,14
style.css,38,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,18
